evolution$generation;redNoise;harshness;propConf;propMaxi;propAnti;meanDev;evolution$samples
6000;67,702016577375;87,8046797848852;70,6;29,4;0;1,468;1
6000;93,1747790404041;93,0036838046108;66,2;33,8;0;3,883;1
6000;52,9784432346015;1;0,2;98,6;1,2;22,23;1
6000;43,1800054337191;99;77;22,8;0;17,668;1
6000;51,648390009585;10,5250796965209;0;95,4;4,6;12,552;1
6000;51,3617729815636;1,79353668583785;0,2;94,6;5,2;21,176;1
6000;43,0043055940113;96,0880813341974;74;26;0;3,688;1
6000;74,7040739225238;11,6231804043183;0;95,6;4,4;16,852;1
6000;53,7065715890434;99;72;28;0;21,949;1
6000;31,5624602192172;13,6314357163284;0;98,6;1,4;6,47;1
6000;22,4179632719553;1;0;96,6;3,2;9,617;1
6000;69,1858307725136;16,1936153290491;0,8;95,8;3,4;12,228;1
6000;76,2418925325464;1;0;98,2;1,8;32,525;1
6000;24,5429619076825;5,00591376876872;0,2;98;1,8;8,224;1
6000;53,1111423658373;4,1356504986025;0,2;96,4;3,4;18,517;1
6000;36,6845196551704;85,749617583337;77,2;22,8;0;0,619;2
6000;87,8036246134148;50,7530527963913;100;0;0;0,797;1
6000;22,7087021800767;85,4957955315348;62,8;37,2;0;0,426;1
6000;13,0833234285653;26,0220440747453;0;100;0;1,03;4
6000;92,1743408203543;86,7087457903045;74,8;25,2;0;1,836;1
6000;35,7159210352451;24,7899328061614;0;100;0;3,2535;2
6000;76,6408039002772;1;0,2;96,6;3,2;33,065;1
6000;89,9651978214567;99;77,2;22,6;0,2;36,051;1
6000;65,4908660170274;96,5184378331486;63,8;36,2;0;12,947;1
6000;87,6734503444338;1,16348278759175;0,4;96,4;3,2;37,952;1
6000;52,1978004381;95,8152882998151;65,8;34;0;4,316;1
6000;12,4203569587434;10,485991226926;0;94,6;5,4;3,121;1
6000;71,322933041701;98,9425247848037;79,4;20,4;0;26,001;1
6000;54,7683348902525;7,16838070071484;0;97,6;2,4;16,207;1
6000;68,3221453008282;92,1572440289863;82;18;0;3,959;1
6000;92,8007363555254;68,5164493165766;96,1;3,9;0;0,9875;2
6000;25,5685054732492;7,67389427515434;0,4;93,6;5,8;7,281;1
6000;28,2729392931805;15,6165008071939;0;98,4;1,6;5,2;1
6000;59,9218718096637;9,05670903823634;0;97;3;15,898;1
6000;73,2875866287654;89,7845147088236;85,6;14,4;0;2,644;1
6000;98,404526801624;92,0633618763899;74;26;0;3,522;1
6000;35,3346897808688;56,8756298331316;98;2;0;0,332;1
6000;20,1678029620865;92,2135260636584;70,8;29,2;0;0,668;1
6000;78,8411690251082;99;70,2;29,8;0;22,18;1
6000;72,5239736232582;98,9040996530163;81,6;18,2;0;22,624;1
6000;90,4711807186623;86,2742663711144;85,8;14,2;0;1,611;1
6000;47,865881492905;99;76,8;23,2;0;17,984;1
6000;86,6033979242873;2,12814993630929;0,2;96,8;3;34,863;1
6000;18,782403051912;18,7670427540943;0;99,6;0,4;2,557;1
6000;80,8576838328043;99;83;16,2;0,6;31,814;1
6000;59,6204268423924;77,7742697206358;87;13;0;0,945;1
6000;100;11,7928618668261;0;100;0;22,116;1
6000;61,172190141802;99;76,6;23,4;0;21,125;1
6000;39,4092368505675;98,1022172951342;77;23;0;13,078;1
6000;38,4471265889429;90,5665684591082;66,7;33,3;0;1,072;2
6000;0,747500358900263;1;0;94,6;5,4;0,318;1
6000;60,4821065974266;97,1131157442162;76,6;23,4;0;7,734;1
6000;3,92296473533407;2,40860848433968;0;99;1;1,533;1
6000;44,0908561115358;91,8821792327756;70,8;29,2;0;1,628;1
6000;54,7035869432484;86,4145697532065;74,8;25,2;0;0,967;1
6000;54,6632795088624;98,0823019412395;69,2;30,8;0;9,355;1
6000;38,9906180539066;17,2221676409394;0;96,4;3,6;6,873;1
6000;62,1560711306081;61,0791583378721;96,8;3,2;0;0,652;1
6000;74,7380572399572;9,96111467947063;0;97,8;2,2;18,423;1
6000;12,6533055928299;1,99083248450316;0,1;98,5;1,4;5,148;2
6000;20,4731102259998;1,286114322069;0;97;3;8,563;1
6000;70,3833727532583;84,7611448160047;81,4;18,6;0;1,297;1
6000;65,9689549879238;1;0,4;94,2;5,2;28,377;1
6000;67,9737335169036;99;72;27,6;0;21,367;1
6000;83,332083786254;99;77,2;22,8;0;28,099;1
6000;64,2747425431654;71,9095153819892;89,4;10,6;0;0,706;1
6000;74,4459750711121;99;73,4;26;0;22,611;1
6000;82,9129717298184;15,1377380591194;99,2;0;0,8;4,869;1
6000;95,3421206274975;92,6509364892599;72;28;0;3,169;1
6000;27,2373665464297;17,8195624050322;0;99,4;0;4,111;3
6000;8,98767768641739;2,27622298830598;0,2;96,4;3,4;3,6085;2
6000;77,9522713000539;1;0,4;94;5,6;33,29;1
6000;89,200873090707;87,8252546303524;81,6;18,4;0;2,238;1
6000;71,96865951573;90,9916239418532;69;30,8;0;3,788;1
6000;91,7838201723301;99;78,6;21,2;0;35,585;1
6000;82,7407236802609;1;0;95,8;4;35,501;1
6000;67,4970121411359;86,8188992766104;87,6;12,4;0;1,725;1
6000;4,16423598831856;62,9047219216045;97;3;0;0,039;1
6000;60,5402976028111;99;72;28;0;24,82;1
6000;88,1623271478584;99;78,4;21,6;0;33,948;1
6000;40,2818609976485;91,9793588998709;66;34;0;1,483;1
6000;16,2042993930003;15,3164838917951;0,2;99,4;0,4;3,171;1
6000;57,8111419259757;75,4026184626131;90,2;9,8;0;0,741;3
6000;91,1407999314252;84,5606641520485;71;29;0;1,632;1
6000;15,0359365493263;89,4471740750306;60,8;39,2;0;0,436;1
6000;88,9934392435362;1;0;96,8;3,2;38,671;1
6000;98,398839548295;73,7197020880678;89,1;10,9;0;1,399;2
6000;38,0307422254143;13,7782153047876;0;98,2;1,8;7,87;2
6000;7,61897364569934;1;0,2;92,8;7;3,228;1
6000;75,6469246426249;1;0;95;5;31,535;1
6000;82,1814317463033;91,3608338266727;66,6;33,4;0;4,099;1
6000;93,8764053898907;7,66123073965569;0;99,4;0,6;27,461;1
6000;29,7956877926381;99;86;13,2;0;11,098;1
6000;51,3064389640869;18,4167782990486;0;100;0;6,515;3
6000;30,2254148068854;1;0,2;91,4;8,2;12,973;1
6000;61,2926582157511;95,1572756391668;77;23;0;5,906;1
6000;26,0056541529465;12,2663102991499;0;98,4;1,6;5,743;1
6000;51,3064389640869;24,2120405206447;0;100;0;4,84549999999999;2
6000;42,2215100006864;13,7967852515309;0;98;2;8,737;3
6000;89,3572838182434;98,9132025769885;79,6;20;0;31,107;1
6000;13,4062184963543;1;0,2;94;5,8;5,684;1
6000;100;5,73822182370646;0;98;2;32,437;1
6000;0,832953605965428;88,5805612843332;69;31;0;0,021;1
6000;96,0415781797219;92,6932366625205;74,4;25,6;0;5,283;1
6000;92,8732551429918;1;0;98,2;1,8;39,956;1
6000;55,5574438880498;99;73,8;26,2;0;23,842;1
6000;50,2034429112346;13,9448829583826;0;97,8;2,2;10,603;1
6000;78,5498082030645;95,2088939487215;73,4;26,6;0;4,734;1
6000;88,3197280425931;85,9572444001784;78,6;21,4;0;1,689;1
6000;44,2916346869387;93,2975401830437;66;34;0;2,17;3
6000;92,6625022954011;87,0449530349822;73;27;0;1,489;1
6000;93,4958263410691;10,7179452098605;0;95,8;4,2;23,221;1
6000;86,6612386466799;77,5245899265446;85,4;14,6;0;1,336;1
6000;30,4240624301763;65,2839433764598;99;1;0;0,2665;2
6000;31,2729180405842;12,029121370778;0,4;96,8;2,8;7,12;1
6000;32,7440519534216;93,2463986360861;79,8;20,2;0;1,337;1
6000;80,5383806289941;1;0;98,2;1,6;34,11;1
6000;31,372330031019;96,7773066172224;72,6;27,4;0;5,00249999999999;2
6000;54,9295440778302;5,52785131491982;0;97,6;2,4;17,821;1
6000;87,9104821111618;97,2179722266827;81;18,8;0;8,3;1
6000;4,64838099837499;7,49301163003142;0;96,4;3,6;1,34;1
6000;47,8258667065902;85,1764071643329;84,6;15,4;0;0,808;1
6000;73,4350067343985;99;74;26;0;22,177;1
6000;9,98870376539788;81,2641983209886;76,6;23,4;0;0,172;1
6000;41,1181853764614;89,0461412839197;76;24;0;1,181;1
6000;76,434075917662;97,1605597400615;83,8;16,2;0;13,315;1
6000;99,2654385366354;93,8369228162727;72,4;27,6;0;6,124;1
6000;56,979846909896;3,14839504311248;0;97,2;2,8;21,442;1
6000;52,8272023402882;10,0496373182212;0;99,4;0,6;13,021;1
6000;100;91,1478928176076;75,8;24,2;0;3,73;1
6000;3,79526710073139;98,7064962092107;72,4;27,6;0;1,179;1
6000;59,2403160351639;20,955554467363;99,4;0,6;0;1,271;1
6000;77,6264461622305;1;0,2;92,2;7,2;32,653;1
6000;50,6825284629496;5,6825069803878;0;98,8;1,2;16,298;1
6000;74,6841737475923;83,9036729367167;82,6;17,4;0;1,616;1
6000;79,0242770335634;93,5962549055614;80,6;19,4;0;6,431;1
6000;60,3995609436155;6,78583178083256;0,2;96,4;3,4;18,086;1
6000;62,0318442241865;8,04913858561144;0;92;7,8;17,603;1
6000;18,8916878971805;2,75850746872793;0;96,8;3,2;7,3;1
6000;88,9067832154298;8,89371768637726;0;97,4;2,6;23,457;1
6000;30,656968576516;1;0;94,8;5;13,32;1
6000;22,8154468389407;10,3960768884678;0,2;96,4;3,4;5,856;1
6000;87,4717098204625;15,5272528261393;95,8;4,2;0;5,236;1
6000;65,7426432204887;99;72,4;27,6;0;23,39;1
6000;56,0969460037043;81,0930193534633;79,2;20,8;0;0,636;1
6000;24,5384047191272;7,92298061658709;0,2;96,8;3;6,9;1
6000;58,5559945726088;12,8957329596584;0;99,2;0,8;12,702;1
6000;49,4273310455345;8,63097533545119;0;95;5;13,263;1
6000;91,5583684529333;74,5246454202383;94,6;5,4;0;1,223;1
6000;60,5968523243866;70,6665841321135;94,4;5,6;0;0,68;1
6000;9,50053577697662;99;78;22;0;3,245;1
6000;1,68664584783425;5,40753093711139;0,2;98,4;1,4;0,53;1
6000;53,5657487582605;6,25021184900981;0;97,2;2,8;17,181;1
6000;26,306301638909;8,71902944855688;0,2;96,6;3,2;7,278;1
6000;77,6387880993781;92,1702505816939;71,8;28;0;2,723;1
6000;34,7168260866165;99;75,6;23,4;0;14,952;1
6000;91,7872337145368;2,75243582029683;0,2;97,4;2,4;35,6425;2
6000;96,365718669548;98,7608476770567;82,2;17,6;0;36,549;1
6000;67,8270225104891;7,72818968035131;0;96,2;3,8;19,559;1
6000;54,603636384133;99;80,6;19,2;0;19,345;1
6000;73,7331053237927;12,1616822557886;0,4;96,2;3,4;16,735;1
6000;94,3351390975799;10,2156428145401;0,2;92,4;7,4;22,497;1
6000;66,1410070007644;99;70,8;29,1;0;22,302;2
6000;27,2038666838106;1;0;88,6;10,4;11,625;1
6000;33,5439704493395;16,8078912599569;95,2;4,8;0;1,117;1
6000;20,9549567950264;1;0;93,2;6,6;8,923;1
6000;7,12027247639524;14,2996352873123;0,4;96,8;2,8;1,414;1
6000;95,1489519564175;25,2553750026204;98,6;1,4;0;2,2385;2
6000;56,6182230878833;4,7392564377845;0,2;94,6;5,2;19,02;1
6000;12,4143577383893;99;70,2;29,4;0;4,825;1
6000;95,3008228155497;92,145987086436;66,2;33,8;0;3,2005;2
6000;42,0154611418496;80,5427693702106;89,4;10,6;0;0,59;1
6000;80,3859544666869;14,0151360221718;0,2;97,6;2,2;16,582;1
6000;76,3901722977857;98,9750298878684;68,2;31,8;0;22,204;1
6000;89,371988438099;1;0,2;95,2;4,4;38,358;1
6000;91,0847952402656;14,1304001044439;0;100;0;18,866;1
6000;82,2008453121995;90,763695593536;65,9;34,0999999999999;0;2,5705;2
6000;46,4787425949879;5,87816862293929;0,2;92,7;7;14,962;2
6000;83,0513305880159;14,7971721714026;0;95;5;16,68;1
6000;69,0446864297767;98,6551572684338;79;20,6;0;27,704;1
6000;90,298132566883;99;76,4;23,4;0;32,358;1
